image_id,condition,filename,source_url,description
dmso_27,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (27) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_28,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (28) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_29,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (29) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_3,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (3) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_30,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (30) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_4,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (4) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_5,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (5) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_6,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (6) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_7,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (7) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_8,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (8) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
dmso_9,DMSO,bbbc053_full/FCCP/DMSO/MAX_DMSO_ (9) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition DMSO."
fccp_1,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (1) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_10,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (10) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_11,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (11) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_12,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (12) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_13,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (13) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_14,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (14) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_15,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (15) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_16,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (16) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_17,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (17) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_18,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (18) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_19,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (19) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_2,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (2) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_20,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (20) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_21,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (21) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_22,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (22) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_23,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (23) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_24,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (24) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_25,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (25) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_26,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (26) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_27,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (27) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_28,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (28) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_29,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (29) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_3,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (3) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_4,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (4) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_5,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (5) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_6,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (6) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_7,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (7) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_8,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (8) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
fccp_9,FCCP,bbbc053_full/FCCP/FCCP/MAX_FCCP_ (9) - Deconvolved.tif,https://bbbc.broadinstitute.org/BBBC053,"BBBC053 full-resolution 16-bit TIFF mitochondrial fluorescence image, condition FCCP."
